maryland chicken,9.836846961985835e-10,0
ham sandwich,9.718302484973407e-08,0
torte,9.525900357409967e-08,0
custard,9.434656060847146e-07,0
swiss steak,9.43118352511596e-09,0
victoria sandwich,9.397123912346927e-10,0
savarin,9.348389778951471e-08,0
margarine,9.274156482774742e-07,0
frittata,9.157902630674286e-08,0
sushi,9.06366079522769e-07,1
chicken cordon bleu,9.052660975006344e-09,0
tempura,8.956492589251575e-08,0
hot and sour soup,8.951199316487024e-09,1
onion rings,8.94236726611819e-08,1
layer cake,8.844005255914666e-08,0
boston cream pie,8.838102388830649e-09,0
steak au poivre,8.812438946972923e-09,0
clam chowder,8.676339413593581e-08,1
scampi,8.670512263719843e-08,0
frozen yogurt,8.658403771732992e-08,1
pate,8.630729979586249e-07,0
terrine,8.541861784561178e-08,0
garlic bread,8.401590900763978e-08,1
enchilada,8.332735695892879e-08,0
jerky,8.319786246602234e-07,0
dolmas,8.31417268365442e-09,0
casserole,8.276454890321361e-07,0
pie,8.204268510780821e-06,0
linguine,8.19004628560549e-08,0
baklava,8.146796556807168e-08,1
schnitzel,7.99217916847006e-08,0
macaroni,7.884301540528327e-07,0
coffee cake,7.880422142614307e-08,0
rissole,7.818841130102783e-09,0
chiffon cake,7.81240232228253e-09,0
tuna tartare,7.666645998605226e-09,1
lobster thermidor,7.569802146223381e-09,0
shrimp and grits,7.557017206449856e-09,1
seedcake,7.526446603109416e-09,0
deviled egg,7.515212934600113e-09,1
chocolate mousse,7.496240017612621e-08,1
takoyaki,7.450865202596191e-10,1
applesauce cake,7.377373982542235e-09,0
toad in the hole,7.31758989513942e-09,0
pancake,7.27646436216034e-07,1
fettuccine,7.128859730309856e-08,0
jambalaya,7.101334420500649e-08,0
fried egg,7.076312458220713e-08,0
spaghetti carbonara,7.045602106944826e-09,1
turnover,7.02694487131339e-06,0
gingerbread,7.007062960973087e-07,0
gyoza,6.9692934479004265e-09,1
confit,6.968003640750453e-08,0
tamale pie,6.91764383969895e-09,0
