adobo,5.129371039025443e-08
ambrosia ,3.527107034217991e-07
anchovy butter,5.6958406602358735e-09
apple pie,4.5556109373734444e-07
applesauce,2.619584499319316e-07
applesauce cake,7.377373982542235e-09
apple turnover,4.65557127224403e-09
baby back ribs,2.096197571077596e-08
bacon and eggs,1.725454776835278e-07
bacon lettuce tomato sandwich,NaN
baked alaska,2.0991050366653274e-08
baked beans,2.588174693451961e-07
baklava,8.146796556807168e-08
barbecued spareribs,3.134092549719747e-09
barbecued wing,NaN
bean dip,2.1659043780708487e-08
beef bourguignonne,1.0916361928986484e-09
beef carpaccio,4.435218914355943e-09
beef stroganoff,2.20458952135405e-08
beef tartare,1.576804263547782e-09
beef wellington,1.7474064521738608e-08
beet salad,1.884733293044949e-08
beignet,1.0131091410237048e-08
bibimbap,3.2266027627514404e-09
biryani,2.9679204094357203e-08
blancmange,4.816621329561954e-08
blood clam,1.2722204192905373e-10
boiled egg,1.7968567544990321e-07
boston cream pie,8.838102388830649e-09
bread pudding,1.1669705890504645e-07
breakfast burrito,1.347411926477804e-08
brisket,2.3610418220521012e-07
bruschetta,6.560095200391913e-08
bubble and squeak,1.7229099633087053e-08
buffalo wing,2.731928808175077e-09
burrito,2.0229246544545276e-07
caesar salad,1.0288868079744162e-07
cannelloni,3.493338782828426e-08
cannoli,5.023248905722255e-08
caprese salad,3.7007923808785037e-09
carbonnade flamande,2.7420548470713513e-10
carrot cake,6.38326232427211e-08
casserole,8.276454890321361e-07
ceviche,5.612842518543104e-08
cheesecake,4.3927905624130403e-07
cheese dip,1.5764116064603817e-08
cheese plate,1.356875428681903e-08
cheese spread,2.962929197825037e-08
chicken and rice,4.368170335167232e-08
chicken cordon bleu,9.052660975006344e-09
chicken curry,4.481584509052894e-08
chicken kiev,1.4703594460041547e-08
chicken marengo,1.8260625685162513e-09
chicken paprika,2.6783211950348607e-09
chicken provencale,NaN
chicken quesadilla,2.188458164686935e-09
chicken sandwich,5.348520037973259e-08
chicken wing,2.7198510443859902e-08
chiffon cake,7.81240232228253e-09
chili,2.0425157538639382e-06
chocolate cake,3.3550478817367946e-07
chocolate mousse,7.496240017612621e-08
chop suey,5.943447156653292e-08
chow mein,4.4324231875114695e-08
churro,1.493845203093258e-08
clam chowder,8.676339413593581e-08
clam dip,2.197602672754373e-09
clam ,1.0507880983112727e-06
club sandwich,3.255242100874689e-08
cockle ,2.7267953406351353e-07
coconut cake,2.244311886334671e-08
coffee cake,7.880422142614307e-08
compote,1.3670156673306622e-07
confit,6.968003640750453e-08
cookie,3.332220273932762e-06
coq au vin,2.7171179847740312e-08
coquilles saint jacques,2.929582808980369e-10
cottage pie,1.1052728510207999e-08
couscous,2.863797385899147e-07
crab cake,1.907977445134157e-08
crab ,3.20303980849701e-06
crayfish ,5.750344840294019e-07
creme brulee,4.1344518267316666e-08
croque madame,1.1111521702744653e-09
croquette,2.4460333564180203e-08
cruller,1.8458012229771725e-08
crumb cake,1.0436134165181521e-08
crumpet,5.645770695394958e-08
cupcake,1.8616419317218913e-07
custard,9.434656060847146e-07
deviled egg,7.515212934600113e-09
dolmas,8.31417268365442e-09
donut,4.864689420180923e-07
dumpling,2.244251235961059e-07
eccles cake,1.3952383935700308e-09
edamame,6.317482506568162e-08
egg roll,3.4419479599812064e-08
eggs benedict,4.308684034906585e-08
enchilada,8.332735695892879e-08
entrecote,6.042026060026906e-09
escalope de veau orloff,NaN
escargot,3.8127000001608735e-08
falafel,1.0061889010870573e-07
farfalle,1.73469229605705e-08
fettuccine,7.128859730309856e-08
filet mignon,1.0429008701073883e-07
fish and chips,1.6852239426157212e-07
fish stick,6.2953729798587155e-09
flan,1.7622144210527324e-07
foie gras,2.246470677258472e-07
fondue,1.4386285285272749e-07
frangipane,3.6903442413027676e-08
french fries,4.762043688266715e-07
french fritter,NaN
french onion soup,2.4312270488491272e-08
french pastry,1.6219151036112045e-08
french toast,1.7297659715698188e-07
friedcake,1.695480908447955e-10
fried calamari,1.2914845887168624e-08
fried egg,7.076312458220713e-08
fried rice,1.1678322159314192e-07
frittata,9.157902630674286e-08
fritter,1.4889758714886625e-07
frog legs ,3.4760149425494546e-08
frozen dessert,1.4167550077548441e-08
frozen yogurt,8.658403771732992e-08
fruitcake,1.234928809212832e-07
galantine,1.877985067455512e-08
garlic bread,8.401590900763978e-08
garlic butter,2.62550848562082e-08
gateau,4.9856836520367764e-08
gefilte fish,3.488267785733967e-08
genoise,1.0966082625296636e-08
gingerbread,7.007062960973087e-07
gnocchi,1.0207624023816919e-07
greek salad,3.87788755273899e-08
grilled cheese sandwich,3.401311654549488e-08
grilled salmon,4.193843786137741e-08
guacamole,1.7245398631349218e-07
gyoza,6.9692934479004265e-09
gyro,2.625101932496321e-07
haggis,1.206120341934458e-07
ham and eggs,1.0778381365206258e-07
hamburger,1.5203001200170263e-06
ham sandwich,9.718302484973407e-08
hash ,3.098633843734433e-06
honey cake,2.3635525203680174e-08
hot and sour soup,8.951199316487024e-09
hot dog,5.099592533808206e-07
huevos rancheros,1.9794685069893236e-08
huitre ,2.0645841286581756e-09
hummus,2.073857947593183e-07
ice cream,4.656939957214945e-06
jambalaya,7.101334420500649e-08
jerky,8.319786246602234e-07
kabob,2.3342364312284314e-08
kedgeree,2.2532919696782727e-08
kishke,4.25624215039111e-09
knish,1.8659987955846336e-08
lamb ,1.1550372043700463e-05
lasagna,3.84416608434357e-07
