tiramisu,5.945937298079684e-08
toad in the hole,7.31758989513942e-09
torte,9.525900357409967e-08
tortellini,5.3636977637161465e-08
tostada,1.3041326431956213e-08
tuna burger,1.5320957003073232e-09
tuna tartare,7.666645998605226e-09
turnover,7.02694487131339e-06
upside down cake,3.848560872765638e-09
veal cordon bleu,1.4751694588088782e-09
veal parmesan,4.082703970037516e-09
vermicelli,1.2135696059178969e-07
victoria sandwich,9.397123912346927e-10
vol au vent,2.4446290755597566e-09
waffle,3.1778111075908555e-07
welsh rarebit,2.6074532546993545e-08
white cake,3.3142841443511983e-08
wonton,5.4885636563417606e-08
wrap,6.573181948965612e-06
zabaglione,1.8479216462585768e-08
ziti,3.7345871964356014e-08
