chicken curry,4.481584509052894e-08
chicken kiev,1.4703594460041547e-08
chicken marengo,1.8260625685162513e-09
chicken paprika,2.6783211950348607e-09
chicken provencale,NaN
chicken quesadilla,2.188458164686935e-09
chicken sandwich,5.348520037973259e-08
chicken wing,2.7198510443859902e-08
chiffon cake,7.81240232228253e-09
chili,2.0425157538639382e-06
chocolate cake,3.3550478817367946e-07
chocolate mousse,7.496240017612621e-08
chop suey,5.943447156653292e-08
chow mein,4.4324231875114695e-08
churro,1.493845203093258e-08
clam chowder,8.676339413593581e-08
clam dip,2.197602672754373e-09
clam ,1.0507880983112727e-06
club sandwich,3.255242100874689e-08
cockle ,2.7267953406351353e-07
coconut cake,2.244311886334671e-08
coffee cake,7.880422142614307e-08
compote,1.3670156673306622e-07
confit,6.968003640750453e-08
cookie,3.332220273932762e-06
coq au vin,2.7171179847740312e-08
coquilles saint jacques,2.929582808980369e-10
cottage pie,1.1052728510207999e-08
couscous,2.863797385899147e-07
crab cake,1.907977445134157e-08
crab ,3.20303980849701e-06
crayfish ,5.750344840294019e-07
creme brulee,4.1344518267316666e-08
croque madame,1.1111521702744653e-09
croquette,2.4460333564180203e-08
cruller,1.8458012229771725e-08
crumb cake,1.0436134165181521e-08
crumpet,5.645770695394958e-08
cupcake,1.8616419317218913e-07
custard,9.434656060847146e-07
deviled egg,7.515212934600113e-09
dolmas,8.31417268365442e-09
donut,4.864689420180923e-07
dumpling,2.244251235961059e-07
eccles cake,1.3952383935700308e-09
edamame,6.317482506568162e-08
egg roll,3.4419479599812064e-08
eggs benedict,4.308684034906585e-08
enchilada,8.332735695892879e-08
entrecote,6.042026060026906e-09
