escalope de veau orloff,NaN
escargot,3.8127000001608735e-08
falafel,1.0061889010870573e-07
farfalle,1.73469229605705e-08
fettuccine,7.128859730309856e-08
filet mignon,1.0429008701073883e-07
fish and chips,1.6852239426157212e-07
fish stick,6.2953729798587155e-09
flan,1.7622144210527324e-07
foie gras,2.246470677258472e-07
fondue,1.4386285285272749e-07
frangipane,3.6903442413027676e-08
french fries,4.762043688266715e-07
french fritter,NaN
french onion soup,2.4312270488491272e-08
french pastry,1.6219151036112045e-08
french toast,1.7297659715698188e-07
friedcake,1.695480908447955e-10
fried calamari,1.2914845887168624e-08
fried egg,7.076312458220713e-08
fried rice,1.1678322159314192e-07
frittata,9.157902630674286e-08
fritter,1.4889758714886625e-07
frog legs ,3.4760149425494546e-08
frozen dessert,1.4167550077548441e-08
frozen yogurt,8.658403771732992e-08
fruitcake,1.234928809212832e-07
galantine,1.877985067455512e-08
garlic bread,8.401590900763978e-08
garlic butter,2.62550848562082e-08
gateau,4.9856836520367764e-08
gefilte fish,3.488267785733967e-08
genoise,1.0966082625296636e-08
gingerbread,7.007062960973087e-07
gnocchi,1.0207624023816919e-07
greek salad,3.87788755273899e-08
grilled cheese sandwich,3.401311654549488e-08
grilled salmon,4.193843786137741e-08
guacamole,1.7245398631349218e-07
gyoza,6.9692934479004265e-09
gyro,2.625101932496321e-07
haggis,1.206120341934458e-07
ham and eggs,1.0778381365206258e-07
hamburger,1.5203001200170263e-06
ham sandwich,9.718302484973407e-08
hash ,3.098633843734433e-06
honey cake,2.3635525203680174e-08
hot and sour soup,8.951199316487024e-09
hot dog,5.099592533808206e-07
huevos rancheros,1.9794685069893236e-08
