pate,8.630729979586249e-07
pavlova,1.360910482084421e-07
peach melba,1.058557193289733e-08
peanut butter,1.1376127484474807e-06
peking duck,2.933234775209792e-08
penne,1.518086003571284e-07
pepper steak,1.2839236257500275e-08
petit four,6.614532511994842e-09
pho,2.8806447829876625e-07
pie,8.204268510780821e-06
pie crust,1.09030872108562e-07
pilaf,1.0672290484681213e-07
pimento butter,NaN
pirogi,3.863564468353786e-09
pizza,4.653996473535926e-06
poached egg,5.821886739365567e-08
poi,5.053875711258371e-07
pork and beans,6.75104952080341e-08
pork chop,1.1207407310531714e-07
porridge,1.1385681162323635e-06
potpie,2.321601901000836e-08
pound cake,1.2244153002605174e-07
poutine,1.4167022222011383e-08
prime rib,1.1116869591543121e-07
profiterole,2.3327243782456097e-09
prune cake,1.8505189255946242e-09
pudding,3.064315350798097e-06
puff,2.406921481679092e-06
pulled pork sandwich,1.3200612825059466e-09
ramen,1.1072239646664483e-07
ravioli,2.1924975612819253e-07
red velvet cake,1.4621802865710798e-08
refried beans,5.9399399732207314e-08
reuben,2.201936126766668e-06
rigatoni,3.792310138139854e-08
risotto,2.941686247925901e-07
rissole,7.818841130102783e-09
roast,3.7382205082536757e-06
rock cake,1.7282372755111908e-09
roulade,3.2237546562785546e-08
rugulah,NaN
salisbury steak,1.6582774049755944e-08
samosa,2.355443601970153e-08
sashimi,1.1191249366104827e-07
sauerbraten,1.7823587147858255e-08
sauerkraut,3.106875705594092e-07
sausage,2.4482514007218015e-06
sausage roll,1.3712269947979694e-08
savarin,9.348389778951471e-08
scallop,3.6151621718438776e-07
