adobo,5.129371039025443e-08
ambrosia ,3.527107034217991e-07
anchovy butter,5.6958406602358735e-09
apple pie,4.5556109373734444e-07
applesauce,2.619584499319316e-07
applesauce cake,7.377373982542235e-09
apple turnover,4.65557127224403e-09
baby back ribs,2.096197571077596e-08
bacon and eggs,1.725454776835278e-07
bacon lettuce tomato sandwich,NaN
baked alaska,2.0991050366653274e-08
baked beans,2.588174693451961e-07
baklava,8.146796556807168e-08
barbecued spareribs,3.134092549719747e-09
barbecued wing,NaN
bean dip,2.1659043780708487e-08
beef bourguignonne,1.0916361928986484e-09
beef carpaccio,4.435218914355943e-09
beef stroganoff,2.20458952135405e-08
beef tartare,1.576804263547782e-09
beef wellington,1.7474064521738608e-08
beet salad,1.884733293044949e-08
beignet,1.0131091410237048e-08
bibimbap,3.2266027627514404e-09
biryani,2.9679204094357203e-08
blancmange,4.816621329561954e-08
blood clam,1.2722204192905373e-10
boiled egg,1.7968567544990321e-07
boston cream pie,8.838102388830649e-09
bread pudding,1.1669705890504645e-07
breakfast burrito,1.347411926477804e-08
brisket,2.3610418220521012e-07
bruschetta,6.560095200391913e-08
bubble and squeak,1.7229099633087053e-08
buffalo wing,2.731928808175077e-09
burrito,2.0229246544545276e-07
caesar salad,1.0288868079744162e-07
cannelloni,3.493338782828426e-08
cannoli,5.023248905722255e-08
caprese salad,3.7007923808785037e-09
carbonnade flamande,2.7420548470713513e-10
carrot cake,6.38326232427211e-08
casserole,8.276454890321361e-07
ceviche,5.612842518543104e-08
cheesecake,4.3927905624130403e-07
cheese dip,1.5764116064603817e-08
cheese plate,1.356875428681903e-08
cheese spread,2.962929197825037e-08
chicken and rice,4.368170335167232e-08
chicken cordon bleu,9.052660975006344e-09
