huitre ,2.0645841286581756e-09
hummus,2.073857947593183e-07
ice cream,4.656939957214945e-06
jambalaya,7.101334420500649e-08
jerky,8.319786246602234e-07
kabob,2.3342364312284314e-08
kedgeree,2.2532919696782727e-08
kishke,4.25624215039111e-09
knish,1.8659987955846336e-08
lamb ,1.1550372043700463e-05
lasagna,3.84416608434357e-07
layer cake,8.844005255914666e-08
limpet ,1.767632102356309e-07
linguine,8.19004628560549e-08
lobster bisque,1.883300210225869e-08
lobster butter,2.6479428111986225e-09
lobster ,2.1415711870531595e-06
lobster roll sandwich,NaN
lobster thermidor,7.569802146223381e-09
lutefisk,1.8557051992273976e-08
macaron,4.451288185269853e-09
macaroni,7.884301540528327e-07
macaroni and cheese,1.7920516626190874e-07
manicotti,2.3236095797463108e-08
marble cake,1.675347746643574e-08
margarine,9.274156482774742e-07
maryland chicken,9.836846961985835e-10
matzo ball,1.084422007052721e-08
meatball,1.1949439898684133e-07
meat loaf ,1.456782652287103e-07
miso soup,4.9785636516141984e-08
moo goo gai pan,5.211578738006928e-09
mostaccioli,5.061624737401349e-09
moussaka,3.4802253426335916e-08
mousse,3.3293152101876444e-07
mussel,5.981639148444629e-07
nacho,1.474466398976304e-07
noodle,6.322442116513116e-07
nut butter,3.034619712460884e-08
omelette,3.382428326315079e-07
onion butter,3.045411693658462e-09
onion rings,8.94236726611819e-08
orzo,5.03306838983697e-08
osso buco,2.0506618708671098e-08
oyster,2.581512354993265e-06
pad thai,3.521122687866196e-08
paella,1.216167947459823e-07
pancake,7.27646436216034e-07
panna cotta,4.064117362090336e-08
pasta,3.0145914973189747e-06
